PositionX,PositionY,PositionZ
-60.31104,1.485,0
-60.41104,1.485,0
-60.51104,1.485,0
-60.61104,1.485,0
-60.71104,1.485,0
-60.81104,1.485,0
-60.91103,1.485,0
-61.01103,1.485,0
-61.11103,1.485,0
-61.21103,1.485,0
-61.31103,1.485,0
-61.41103,1.485,0
-61.41103,1.485,0
-61.48174,1.414289,0
-61.48174,1.414289,0
-61.55244,1.343579,0
-61.55244,1.343579,0
-61.62315,1.272868,0
-61.62315,1.172868,0
-61.62315,1.072868,0
-61.62315,0.972868,0
-61.62315,0.8728679,0
-61.62315,0.7728679,0
-61.62315,0.6728679,0
-61.62315,0.5728679,0
-61.62315,0.4728679,0
-61.62315,0.3728679,0
-61.62315,0.2728679,0
-61.62315,0.1728679,0
-61.62315,0.0728679,0
-61.62315,-0.02713209,0
-61.62315,-0.1271321,0
-61.62315,-0.2271321,0
-61.62315,-0.3271321,0
-61.62315,-0.4271321,0
-61.62315,-0.527132,0
-61.62315,-0.6271321,0
-61.62315,-0.7271321,0
-61.62315,-0.7271321,0
-61.55244,-0.7978427,0
-61.55244,-0.7978427,0
-61.48174,-0.8685534,0
-61.48174,-0.8685534,0
-61.41103,-0.9392641,0
-61.41103,-0.9392641,0
-61.34032,-1.009975,0
-61.34032,-1.009975,0
-61.26961,-1.080685,0
-61.26961,-1.080685,0
-61.1989,-1.151396,0
-61.1989,-1.151396,0
-61.12819,-1.222107,0
-61.12819,-1.222107,0
-61.05748,-1.292817,0
-61.05748,-1.292817,0
-60.98677,-1.363528,0
-60.98677,-1.363528,0
-60.91606,-1.434239,0
-60.91606,-1.434239,0
-60.84535,-1.504949,0
-60.84535,-1.504949,0
-60.77464,-1.57566,0
-60.77464,-1.57566,0
-60.70393,-1.646371,0
-60.70393,-1.646371,0
-60.63322,-1.717081,0
-60.63322,-1.717081,0
-60.56252,-1.787792,0
-60.56252,-1.787792,0
-60.49181,-1.858503,0
-60.49181,-1.858503,0
-60.4211,-1.929213,0
-60.4211,-1.929213,0
-60.35039,-1.999924,0
-60.35039,-1.999924,0
-60.27968,-2.070635,0
-60.27968,-2.070635,0
-60.20897,-2.141345,0
-60.20897,-2.141345,0
-60.13826,-2.212056,0
-60.13826,-2.212056,0
-60.06755,-2.282767,0
-60.06755,-2.282767,0
-59.99684,-2.353477,0
-59.99684,-2.353477,0
-59.92613,-2.424188,0
-59.92613,-2.424188,0
-59.85542,-2.494899,0
-59.85542,-2.494899,0
-59.78471,-2.565609,0
-59.78471,-2.565609,0
-59.714,-2.63632,0
-59.714,-2.63632,0
-59.6433,-2.707031,0
-59.6433,-2.707031,0
-59.57259,-2.777741,0
-59.57259,-2.777741,0
-59.50188,-2.848452,0
-59.50188,-2.848452,0
-59.43117,-2.919163,0
-59.43117,-2.919163,0
-59.36046,-2.989873,0
-59.36046,-2.989873,0
-59.28975,-3.060584,0
-59.28975,-3.060584,0
-59.21904,-3.131294,0
-59.21904,-3.131294,0
-59.14833,-3.202005,0
-59.14833,-3.202005,0
-59.07762,-3.272716,0
-59.07762,-3.272716,0
-59.00691,-3.343426,0
-59.00691,-3.343426,0
-58.9362,-3.414137,0
-58.9362,-3.414137,0
-58.86549,-3.484848,0
-58.86549,-3.484848,0
-58.79478,-3.555558,0
-58.79478,-3.555558,0
-58.72408,-3.626269,0
-58.72408,-3.626269,0
-58.65337,-3.69698,0
-58.65337,-3.69698,0
-58.58266,-3.76769,0
-58.58266,-3.76769,0
-58.51195,-3.838401,0
-58.51195,-3.838401,0
-58.44124,-3.909112,0
-58.44124,-3.909112,0
-58.37053,-3.979822,0
-58.37053,-3.979822,0
-58.29982,-4.050533,0
-58.29982,-4.050533,0
-58.22911,-4.121244,0
-58.22911,-4.121244,0
-58.1584,-4.191955,0
-58.1584,-4.191955,0
-58.08769,-4.262665,0
-58.08769,-4.262665,0
-58.01698,-4.333376,0
-58.01698,-4.333376,0
-57.94627,-4.404087,0
-57.94627,-4.404087,0
-57.87556,-4.474797,0
-57.87556,-4.474797,0
-57.80486,-4.545508,0
-57.80486,-4.545508,0
-57.73415,-4.616219,0
-57.73415,-4.616219,0
-57.66344,-4.686929,0
-57.66344,-4.686929,0
-57.59273,-4.75764,0
-57.59273,-4.75764,0
-57.52202,-4.828351,0
-57.52202,-4.828351,0
-57.45131,-4.899061,0
-57.45131,-4.899061,0
-57.45131,-4.899061,0
-57.45131,-4.999061,0
-57.45131,-4.999061,0
-57.45131,-4.999061,0
-57.45131,-5.099061,0
-57.45131,-5.099061,0
-57.45131,-5.099061,0
-57.45131,-5.199061,0
-57.45131,-5.199061,0
-57.52202,-5.269772,0
-57.52202,-5.269772,0
-57.59273,-5.340482,0
-57.59273,-5.340482,0
-57.66344,-5.411193,0
-57.66344,-5.411193,0
-57.73415,-5.481904,0
-57.73415,-5.481904,0
-57.80486,-5.552614,0
-57.80486,-5.552614,0
-57.87556,-5.623325,0
-57.87556,-5.623325,0
-57.94627,-5.694036,0
-57.94627,-5.694036,0
-58.01698,-5.764746,0
-58.01698,-5.764746,0
-58.08769,-5.835457,0
-58.08769,-5.835457,0
-58.1584,-5.906168,0
-58.1584,-5.906168,0
-58.22911,-5.976878,0
-58.22911,-5.976878,0
-58.29982,-6.047589,0
-58.29982,-6.047589,0
-58.37053,-6.118299,0
-58.37053,-6.118299,0
-58.44124,-6.18901,0
-58.44124,-6.18901,0
-58.37053,-6.259721,0
-58.37053,-6.259721,0
